data_set	model	group_name	meta	Terms	Time	Response	Sample_classification	drug	
GSE157194__GPL21290	Treatment__GSE157194__GPL21290__Dupilumab_vs_ciclosporin	Dupilumab_vs_ciclosporin	no	W12_vs_W0:CyclosporinL	W12_vs_W0		L	Cyclosporin	
GSE157194__GPL21290	Treatment__GSE157194__GPL21290__Dupilumab_vs_ciclosporin	Dupilumab_vs_ciclosporin	no	W12_vs_W0:CyclosporinNL	W12_vs_W0		NL	Cyclosporin	
GSE157194__GPL21290	Treatment__GSE157194__GPL21290__Dupilumab_vs_ciclosporin	Dupilumab_vs_ciclosporin	no	W12_vs_W0:DupilumabL	W12_vs_W0		L	Dupilumab	
GSE157194__GPL21290	Treatment__GSE157194__GPL21290__Dupilumab_vs_ciclosporin	Dupilumab_vs_ciclosporin	no	W12_vs_W0:DupilumabNL	W12_vs_W0		NL	Dupilumab	
GSE130588__GPL570	Treatment__GSE130588__GPL570__Dupilumab	Dupilumab	no	W16_vs_W0:DupilumabL	W16_vs_W0		L	Dupilumab	
GSE130588__GPL570	Treatment__GSE130588__GPL570__Dupilumab	Dupilumab	no	W16_vs_W0:DupilumabNL	W16_vs_W0		NL	Dupilumab	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16_vs_W0:NR_L	W16_vs_W0	NR	L	Dupilumab	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16_vs_W0:NR_NL	W16_vs_W0	NR	NL	Dupilumab	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16_vs_W0:placebo_NR_L	W16_vs_W0	NR	L	Placebo	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16_vs_W0:placebo_NR_NL	W16_vs_W0	NR	NL	Placebo	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16_vs_W0:placebo_R_L	W16_vs_W0	R	L	Placebo	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16_vs_W0:placebo_R_NL	W16_vs_W0	R	NL	Placebo	
GSE130588__GPL570	Treatment__GSE130588__GPL570__Dupilumab	Dupilumab	no	W16_vs_W0:PlaceboL	W16_vs_W0		L	Placebo	
GSE130588__GPL570	Treatment__GSE130588__GPL570__Dupilumab	Dupilumab	no	W16_vs_W0:PlaceboNL	W16_vs_W0		NL	Placebo	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16_vs_W0:R_L	W16_vs_W0	R	L	Dupilumab	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16_vs_W0:R_NL	W16_vs_W0	R	NL	Dupilumab	
GSE130588__GPL570	Treatment__GSE130588__GPL570__Dupilumab	Dupilumab	no	W4_vs_W0:DupilumabL	W4_vs_W0		L	dupilumab	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W4_vs_W0:NR_L	W4_vs_W0	NR	L	dupilumab	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W4_vs_W0:placebo_NR_L	W4_vs_W0	NR	L	Placebo	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W4_vs_W0:placebo_R_L	W4_vs_W0	R	L	Placebo	
GSE130588__GPL570	Treatment__GSE130588__GPL570__Dupilumab	Dupilumab	no	W4_vs_W0:PlaceboL	W4_vs_W0		L	Placebo	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W4_vs_W0:R_L	W4_vs_W0	R	L	Dupilumab	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W12_vs_W0:FezakinumabL	W12_vs_W0		L	Fezakinumab	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W12_vs_W0:FezakinumabNL	W12_vs_W0		NL	Fezakinumab	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W12_vs_W0:PlaceboL	W12_vs_W0		L	Placebo	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W12_vs_W0:PlaceboNL	W12_vs_W0		NL	Placebo	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W16_vs_W0:PlaceboL	W16_vs_W0		L	Placebo	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W16_vs_W0:PlaceboNL	W16_vs_W0		NL	Placebo	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W16_vs_W0:SecukinumabL	W16_vs_W0		L	Secukinumab	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W16_vs_W0:SecukinumabNL	W16_vs_W0		NL	Secukinumab	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W4_vs_W0:FezakinumabL	W4_vs_W0		L	Fezakinumab	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W4_vs_W0:FezakinumabNL	W4_vs_W0		NL	Fezakinumab	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W4_vs_W0:PlaceboL	W4_vs_W0		L	Placebo	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W4_vs_W0:PlaceboL	W4_vs_W0		L	Placebo	
GSE99802__GPL570	Treatment__GSE99802__GPL570__Fezakinumab	Fezakinumab	no	W4_vs_W0:PlaceboNL	W4_vs_W0		NL	Placebo	
GSE137430__rnaseq	Treatment__GSE137430__rnaseq__Secukinumab	Secukinumab	no	W4_vs_W0:SecukinumabL	W4_vs_W0		L	Secukinumab	
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W0:R_L_vs_NR_L	Baseline		L	Dupilumab	X
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16:R_L_vs_NR_L	W16		L	Dupilumab	X
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W16_vs_W0:R_L_vs_NR_L					
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W4:R_L_vs_NR_L	W4		L	R_L_vs	X
GSE130588__GPL570	Dupilumab_response__GSE130588__GPL570__R_vs_NR	R_vs_NR	no	W4_vs_W0:R_L_vs_NR_L					
